DOI,Aesthetic Metrics,Aesthetic Resolution,Aesthetic Tag,Aesthetic cleanup,Application Domain,Authors,Bibtex Key,Checked By,Cleaned-Up Venue,Collect,Constraints,Doubt,Drawing Dimensionality,Duplicate,Evaluation Methodology,Filled in by,Graph Feature Clean-up,Graph Features,Highlight,How Was the Optimization Achieved?,Keep,Last edited by,Last edited time,Number of Graphs,Optimization Approach,Optimization Approach cleaned,Optimization Level,Paper Type,Place,Place 1,Read By,Source,Title,Type Tag,URL,Venue,Visualization Type,Visualization Type cleanup,Year,|E| Range,|V| Range
NA,"Edge Crossings, Grid Alignment",Drawing,Edge Crossings,,Agnostic,"Purchase, Helen C., Plimmer, Beryl, Baker, Rosemary, Pilcher, Christopher",purchase_graph_2010,"Henry, Sara",Proceedings of the Australasian Conference on User Interface - Volume 106,All Items (https://www.notion.so/All-Items-28801d52e4ad80efa045f64f76ffd1d9?pvs=21),,No,2D,No,"Computational (Aesthetic), User Study (Qualitative), User Study (Quantitative)",Natkamon,Simple,Simple Graph,No,Hand-drawn,Yes,Diana Marin,"October 15, 2025 5:50 PM",34,Hand-drawn,,Drawing,Evaluation,,,Natkamon,ACM,Graph drawing aesthetics in user-sketched graph layouts,,https://dl.acm.org/doi/10.5555/1862280.1862292,Proceedings of the Eleventh Australasian Conference on User Interface - Volume 106,Node-Link Diagram,Node-Link,2010,14-18,10
NA,"Bends, Edge Length, Flow Direction, Line Orthogonality, Node Distribution, Normalized Edge Length Variation, Symmetry",Drawing,"Edge Length, Overlap",,UML,"Purchase, Helen C., McGill, Matthew, Colpoys, Linda, Carrington, David",purchase_graph_2001,"Henry, Sara",Proceedings of the Asia-Pacific Symposium on Information Visualisation - Volume 9,All Items (https://www.notion.so/All-Items-28801d52e4ad80efa045f64f76ffd1d9?pvs=21),,No,2D,No,User Study (Quantitative),Diana,Simple,Simple Graph,No,,Yes,Diana Marin,"October 15, 2025 5:51 PM",50,None,,None,Evaluation,,,Natkamon,ACM,Graph drawing aesthetics and the comprehension of UML class diagrams: an empirical study,,https://courses.ischool.berkeley.edu/i247/f05/readings/Purchase_UML_OzIV01.pdf,Proceedings of the 2001 Asia-Pacific Symposium on Information Visualisation - Volume 9,Node-Link Diagram,Node-Link,2001,,
10.1145/1865841.1865854,"Crossing Angle, Crossing Number",Drawing,"Crossing Resolution, Edge Crossings",Crossings,Agnostic,"Huang, Weidong, Huang, Maolin",huang_exploring_2010,"Henry, Sara",Proceedings of the International Symposium on Visual Information Communication,All Items (https://www.notion.so/All-Items-28801d52e4ad80efa045f64f76ffd1d9?pvs=21),,No,2D,No,User Study (Quantitative),Natkamon,Simple,Simple Graph,No,Layout Algorithm,Yes,Diana Marin,"October 15, 2025 5:51 PM",200,Heuristic (force-directed),Heuristic,Drawing,Evaluation,,,Natkamon,ACM,Exploring the relative importance of crossing number and crossing angle,,https://doi.org/10.1145/1865841.1865854,Proceedings of the 3rd International Symposium on Visual Information Communication,Node-Link Diagram,Node-Link,2010,,10-50
NA,Mental Map Preservation,"Drawing, Node, Transition",,,Agnostic,"Lee, Yi-Yi, Lin, Chun-Cheng, Yen, Hsu-Chun",lee_mental_2006,"Henry, Sara",Proceedings of the Asia-Pacific Symposium on Information Visualisation - Volume 60,All Items (https://www.notion.so/All-Items-28801d52e4ad80efa045f64f76ffd1d9?pvs=21),,No,2D,No,"Computational (Run Time), Looking at Pictures, User Study (Quantitative)",Natkamon,Simple,Simple Graph,No,Layout Algorithm,Yes,Diana Marin,"October 15, 2025 5:51 PM",4,Heuristic (simulated annealing),Heuristic,Layout,Algorithm,,,Natkamon,ACM,Mental map preserving graph drawing using simulated annealing,,https://www.sciencedirect.com/science/article/pii/S0020025511002799,Proceedings of the 2006 Asia-Pacific Symposium on Information Visualisation - Volume 60,Straight-Line Node-Link Diagram,Node-Link,2006,15-130,8-102
10.1145/1830483.1830616,,,,,,"Neta, Bernadete Maria de Mendon\c{c}a, Araujo, Gustavo Henrique Diniz, Guimar\~{a}es, Frederico Gadelha, Mesquita, Renato Cardoso",,"Henry, Sara",Proceedings of the Annual Conference on Genetic and Evolutionary Computation,,,No,,Yes,,,,,No,,No,Natkamon Tovanich,"September 19, 2025 12:34 PM",,,,,,,,Natkamon,ACM,A hybrid genetic algorithm for automatic graph drawing based on the topology-shape-metric approach.,,https://doi.org/10.1145/1830483.1830616,Proceedings of the 12th Annual Conference on Genetic and Evolutionary Computation,,,2010,,
10.1145/1294685.1294709,"Node Distribution, minimization of unused space, no collision between vertices",Drawing,Overlap,,Agnostic,"Dodo, Meva, Andriamanampisoa, Fenohery, Torguet, Patrice, Jessel, Jean Pierre",dodo_new_2007,Henry,"Proceedings of the International Conference on Computer Graphics, Virtual Reality, Visualisation and Interaction in Africa",All Items (https://www.notion.so/All-Items-28801d52e4ad80efa045f64f76ffd1d9?pvs=21),,No,3D,No,"Computational (Run Time), Looking at Pictures",Natkamon,Simple,Simple Graph,No,Layout Algorithm,Yes,Diana Marin,"October 15, 2025 5:51 PM",6,Heuristic (force-directed),Heuristic,Layout,Algorithm,,,Natkamon,ACM,A new method to optimize the force-directed placement for 3D large graph drawing,,https://doi.org/10.1145/1294685.1294709,"Proceedings of the 5th International Conference on Computer Graphics, Virtual Reality, Visualisation and Interaction in Africa",Straight-Line Node-Link Diagram,Node-Link,2007,,110-3153
NA,,,,,,"Eiglsperger, Markus, F\{o}\ss{}meier, Ulrich, Kaufmann, Michael",,Henry,Proceedings of the Annual ACM-SIAM Symposium on Discrete Algorithms,,,No,,No,,,,,No,,No,Diana Marin,"August 29, 2025 4:24 PM",,,,,,,,Natkamon,ACM,Orthogonal graph drawing with constraints,,https://dl.acm.org/doi/pdf/10.5555/338219.338225,Proceedings of the Eleventh Annual ACM-SIAM Symposium on Discrete Algorithms,,,2000,,
NA,"Crossings, Drawing Area, Edge Bends, Few dummy nodes, Few opposit edges (vertical and horizontal)",Drawing,"Edge Bends, Edge Crossings, Total Area",,Agnostic,"do Nascimento, Hugo A. D.",do_nascimento_framework_2001,Henry,Proceedings of the Asia-Pacific Symposium on Information Visualisation - Volume 9,All Items (https://www.notion.so/All-Items-28801d52e4ad80efa045f64f76ffd1d9?pvs=21),,Yes,2D,No,"User Study (Qualitative), User Study (Quantitative)",Diana,Simple,Simple Graph,No,,Yes,Diana Marin,"October 15, 2025 5:51 PM",6,"Heuristic (sugiyama), Manual tweaks",Heuristic,Drawing,"Algorithm, Evaluation",,,Natkamon,ACM,A framework for human-computer interaction in directed graph drawing,,https://dl.acm.org/doi/abs/10.5555/564040.564048,Proceedings of the 2001 Asia-Pacific Symposium on Information Visualisation - Volume 9,Node-Link Diagram,Node-Link,2001,,
NA,"Crossings, Volume",Drawing,Edge Crossings,,,"Cohen, Robert F., Eades, Peter, Lin, Tao, Ruskey, Frank",cohen_volume_1994,Henry,Proceedings of the Conference of the Centre for Advanced Studies on Collaborative Research,All Items (https://www.notion.so/All-Items-28801d52e4ad80efa045f64f76ffd1d9?pvs=21),,No,3D,No,"Looking at Pictures, Proof",Diana,Simple,Simple Graph,No,,Yes,Diana Marin,"October 15, 2025 5:51 PM",,Exact (Proof),,Drawing,"Algorithm, Proof",,,Natkamon,ACM,Volume upper bounds for 3D graph drawing,,https://dl.acm.org/doi/pdf/10.5555/782185.782196,Proceedings of the 1994 Conference of the Centre for Advanced Studies on Collaborative Research,"Grid Drawing, Node-Link Diagram",Node-Link,1994,,
10.5555/962198.962200,,,,,,"Lyons, Kelly A.",,Henry,Proceedings of the Conference of the Centre for Advanced Studies on Collaborative Research - Volume 1,,,No,,No,,,,,No,,Yes,Natkamon Tovanich,"September 26, 2025 12:44 PM",,,,,Survey,,,Natkamon,ACM,Cluster busting in anchored graph drawing,,https://dl.acm.org/doi/pdf/10.5555/962198.962200,Proceedings of the 1992 Conference of the Centre for Advanced Studies on Collaborative Research - Volume 1,,,1992,,
