Bibtex Key,Aesthetic Tag,Approach,Evaluation Criterion,Graph Type,Paper TItle,Participants,Statistical Evaluation,Statistically Significant,Task,Task Group,Task Type,|E|,|G|,|N|
purchase_effective_2000,Edge Crossings,Quantitative,Task Time,Node-Link,Effective information visualisation: a study of graph drawing aesthetics and algorithms,55,Yes,Yes,How long is the shortest path between two given nodes?,Topology,Find Shortest Path,28,1,16
purchase_effective_2000,Edge Crossings,Quantitative,Error Rate,Node-Link,Effective information visualisation: a study of graph drawing aesthetics and algorithms,55,Yes,Yes,How long is the shortest path between two given nodes?,Topology,Find Shortest Path,28,1,16
purchase_effective_2000,Edge Bends,Quantitative,Task Time,Node-Link,Effective information visualisation: a study of graph drawing aesthetics and algorithms,55,Yes,No,How long is the shortest path between two given nodes?,Topology,Find Shortest Path,28,1,16
purchase_effective_2000,Edge Bends,Quantitative,Error Rate,Node-Link,Effective information visualisation: a study of graph drawing aesthetics and algorithms,55,Yes,Yes,How long is the shortest path between two given nodes?,Topology,Find Shortest Path,28,1,16
purchase_effective_2000,Angular Resolution,Quantitative,Task Time,Node-Link,Effective information visualisation: a study of graph drawing aesthetics and algorithms,55,Yes,No,How long is the shortest path between two given nodes?,Topology,Find Shortest Path,28,1,16
purchase_effective_2000,Angular Resolution,Quantitative,Error Rate,Node-Link,Effective information visualisation: a study of graph drawing aesthetics and algorithms,55,Yes,No,How long is the shortest path between two given nodes?,Topology,Find Shortest Path,28,1,16
purchase_effective_2000,"Edge Orthogonality, Node Orthogonality",Quantitative,Task Time,Node-Link,Effective information visualisation: a study of graph drawing aesthetics and algorithms,55,Yes,No,How long is the shortest path between two given nodes?,Topology,Find Shortest Path,28,1,16
purchase_effective_2000,"Edge Orthogonality, Node Orthogonality",Quantitative,Error Rate,Node-Link,Effective information visualisation: a study of graph drawing aesthetics and algorithms,55,Yes,No,How long is the shortest path between two given nodes?,Topology,Find Shortest Path,28,1,16
purchase_effective_2000,Symmetry,Quantitative,Task Time,Node-Link,Effective information visualisation: a study of graph drawing aesthetics and algorithms,55,Yes,Yes,How long is the shortest path between two given nodes?,Topology,Find Shortest Path,28,1,16
purchase_effective_2000,Symmetry,Quantitative,Error Rate,Node-Link,Effective information visualisation: a study of graph drawing aesthetics and algorithms,55,Yes,No,How long is the shortest path between two given nodes?,Topology,Find Shortest Path,28,1,16
purchase_effective_2000,Edge Crossings,Quantitative,Task Time,Node-Link,Effective information visualisation: a study of graph drawing aesthetics and algorithms,55,Yes,Yes,What is the minimum number of nodes that must be removed in order to disconnect two given nodes such that there is no path between them?,Topology,Find Bridges,28,1,16
purchase_effective_2000,Edge Crossings,Quantitative,Task Time,Node-Link,Effective information visualisation: a study of graph drawing aesthetics and algorithms,55,Yes,Yes,What is the minimum number of edges that must be removed in order to disconnect two given nodes such that there is no path between them?,Topology,Find Connected Components,28,1,16
purchase_effective_2000,Edge Crossings,Quantitative,Error Rate,Node-Link,Effective information visualisation: a study of graph drawing aesthetics and algorithms,55,Yes,Yes,What is the minimum number of nodes that must be removed in order to disconnect two given nodes such that there is no path between them?,Topology,Find Bridges,28,1,16
purchase_effective_2000,Edge Crossings,Quantitative,Error Rate,Node-Link,Effective information visualisation: a study of graph drawing aesthetics and algorithms,55,Yes,Yes,What is the minimum number of edges that must be removed in order to disconnect two given nodes such that there is no path between them?,Topology,Find Connected Components,28,1,16
purchase_effective_2000,Edge Bends,Quantitative,Task Time,Node-Link,Effective information visualisation: a study of graph drawing aesthetics and algorithms,55,Yes,No,What is the minimum number of nodes that must be removed in order to disconnect two given nodes such that there is no path between them?,Topology,Find Bridges,28,1,16
purchase_effective_2000,Edge Bends,Quantitative,Task Time,Node-Link,Effective information visualisation: a study of graph drawing aesthetics and algorithms,55,Yes,No,What is the minimum number of edges that must be removed in order to disconnect two given nodes such that there is no path between them?,Topology,Find Connected Components,28,1,16
purchase_effective_2000,Edge Bends,Quantitative,Error Rate,Node-Link,Effective information visualisation: a study of graph drawing aesthetics and algorithms,55,Yes,Yes,What is the minimum number of nodes that must be removed in order to disconnect two given nodes such that there is no path between them?,Topology,Find Bridges,28,1,16
purchase_effective_2000,Edge Bends,Quantitative,Error Rate,Node-Link,Effective information visualisation: a study of graph drawing aesthetics and algorithms,55,Yes,Yes,What is the minimum number of edges that must be removed in order to disconnect two given nodes such that there is no path between them?,Topology,Find Connected Components,28,1,16
purchase_effective_2000,Angular Resolution,Quantitative,Task Time,Node-Link,Effective information visualisation: a study of graph drawing aesthetics and algorithms,55,Yes,No,What is the minimum number of nodes that must be removed in order to disconnect two given nodes such that there is no path between them?,Topology,Find Bridges,28,1,16
purchase_effective_2000,Angular Resolution,Quantitative,Task Time,Node-Link,Effective information visualisation: a study of graph drawing aesthetics and algorithms,55,Yes,No,What is the minimum number of edges that must be removed in order to disconnect two given nodes such that there is no path between them?,Topology,Find Connected Components,28,1,16
